game_version,version_name,release_date,patch_note_url,update_notice_url
2025.12.05.0000.0000,7.0,2025-12-10,,
2026.01.22.0000.0000,7.01,2026-02-10,https://www.ffxiv.com.tw/web/special/patchnote_log/patch_7.01_notes.html,https://www.ffxiv.com.tw/web/news/news_content.aspx?id=ZMngllXGdvEo
